
> discogs-manager@2.0.0 dev
> ts-node src/index.ts collection query releases count(), artist group by artist order by count desc

count  artist                                                                                                                                                                                                     
    2  The Human League                                                                                                                                                                                           
    2  The Jam                                                                                                                                                                                                    
    2  The KLF                                                                                                                                                                                                    
    2  The Smiths                                                                                                                                                                                                 
    2  The Sun Ra Arkestra                                                                                                                                                                                        
    2  The X-ecutioners                                                                                                                                                                                           
    2  Thievery Corporation                                                                                                                                                                                       
    2  Thompson Twins                                                                                                                                                                                             
    2  Time Zone                                                                                                                                                                                                  
    2  Tones On Tail                                                                                                                                                                                              
    2  Tortoise                                                                                                                                                                                                   
    2  Tosca                                                                                                                                                                                                      
    2  Tranquility Bass                                                                                                                                                                                           
    2  Trans Am (2)                                                                                                                                                                                               
    2  Trans-X                                                                                                                                                                                                    
    2  Up, Bustle & Out                                                                                                                                                                                           
    2  Utah Saints                                                                                                                                                                                                
    2  Warpaint                                                                                                                                                                                                   
    2  WestBam                                                                                                                                                                                                    
    2  We™                                                                                                                                                                                                        
    2  XTC                                                                                                                                                                                                        
    2  Yes                                                                                                                                                                                                        
    1  "Annie" Original Cast                                                                                                                                                                                      
    1  "Weird Al" Yankovic                                                                                                                                                                                        
    1  00Agents                                                                                                                                                                                                   
    1  9 Lazy 9                                                                                                                                                                                                   
    1  A Flock Of Seagulls                                                                                                                                                                                        
    1  A Guy Called Gerald                                                                                                                                                                                        
    1  A. G. Cook                                                                                                                                                                                                 
    1  ABC                                                                                                                                                                                                        
    1  AC/DC                                                                                                                                                                                                      
    1  AK1200, Dom & Roland                                                                                                                                                                                       
    1  Adamski                                                                                                                                                                                                    
    1  Add N To (X)                                                                                                                                                                                               
    1  Afro-Mystik                                                                                                                                                                                                
    1  Air Movement                                                                                                                                                                                               
    1  Air Supply                                                                                                                                                                                                 
    1  Alex Reece                                                                                                                                                                                                 
    1  Alex Reece, Utah Jazz                                                                                                                                                                                      
    1  Alexi Delano, John Selway                                                                                                                                                                                  
    1  Ali Sethi, Nicolas Jaar                                                                                                                                                                                    
    1  Alpha Omega                                                                                                                                                                                                
    1  Alphaville                                                                                                                                                                                                 
    1  Altinbas                                                                                                                                                                                                   
    1  Andrew Powell, Philharmonia Orchestra                                                                                                                                                                      
    1  Andy Gibb                                                                                                                                                                                                  
    1  Ann Mayo Muir, Ed Trickett, Gordon Bok                                                                                                                                                                     
    1  Anthrax                                                                                                                                                                                                    
    1  Antibalas                                                                                                                                                                                                  
    1  Arcadia (3)                                                                                                                                                                                                
    1  Arlo Guthrie                                                                                                                                                                                               
    1  Arrested Development                                                                                                                                                                                       
    1  Ata Kak                                                                                                                                                                                                    
    1  B. McCarthy, Temulent, J Initial                                                                                                                                                                           
    1  Bad Company                                                                                                                                                                                                
    1  Bad Company (3)                                                                                                                                                                                            
    1  Ball Park Music                                                                                                                                                                                            
    1  Bangles                                                                                                                                                                                                    
    1  Barbara Morgenstern                                                                                                                                                                                        
    1  Barbatuques                                                                                                                                                                                                
    1  Barry White                                                                                                                                                                                                
    1  Beastie Boys                                                                                                                                                                                               
    1  Beau Didier, Isaiah (14)                                                                                                                                                                                   
    1  Bell Biv Devoe                                                                                                                                                                                             
    1  Ben Neill                                                                                                                                                                                                  
    1  Bert (3), Ernie (4)                                                                                                                                                                                        
    1  Beverly Sills                                                                                                                                                                                              
    1  Bicep                                                                                                                                                                                                      
    1  Big Bopper, Leroy Van Dyke                                                                                                                                                                                 
    1  Big Country                                                                                                                                                                                                
    1  Bill Converse                                                                                                                                                                                              
    1  Bill Laswell                                                                                                                                                                                               
    1  Billy And The Boingers                                                                                                                                                                                     
    1  Billy Idol                                                                                                                                                                                                 
    1  Billy Squier                                                                                                                                                                                               
    1  Black Box                                                                                                                                                                                                  
    1  Black Eyed Peas                                                                                                                                                                                            
    1  Black Oak Arkansas                                                                                                                                                                                         
    1  Blame & Justice                                                                                                                                                                                            
    1  Blondie                                                                                                                                                                                                    
    1  Blu Cantrell                                                                                                                                                                                               
    1  Blue Pearl                                                                                                                                                                                                 
    1  Blue Rodeo                                                                                                                                                                                                 
    1  Blue Russell                                                                                                                                                                                               
    1  Blur                                                                                                                                                                                                       
    1  Bob Seger And The Silver Bullet Band                                                                                                                                                                       
    1  Boogie Down Productions                                                                                                                                                                                    
    1  Booka Shade                                                                                                                                                                                                
    1  Breakbeat Era                                                                                                                                                                                              
    1  Bronski Beat                                                                                                                                                                                               
    1  Brooklyn Funk Essentials                                                                                                                                                                                   
    1  Bruce Murray                                                                                                                                                                                               
    1  Bruce Willis                                                                                                                                                                                               
    1  Buckfunk 3000                                                                                                                                                                                              
    1  Buckminster Fuzeboard                                                                                                                                                                                      
    1  Bullet (7)                                                                                                                                                                                                 
    1  Béla Bartók, The Philadelphia Orchestra, Eugene Ormandy, Rosalind Elias, Jerome Hines                                                                                                                      
    1  C.C.C.P.                                                                                                                                                                                                   
    1  Cabbage Boy                                                                                                                                                                                                
    1  Cardopusher                                                                                                                                                                                                
    1  Carl Cox                                                                                                                                                                                                   
    1  Carl Craig                                                                                                                                                                                                 
    1  Carl Craig, Pépé Bradock                                                                                                                                                                                   
    1  Carlito, John B                                                                                                                                                                                            
    1  Caroline Polachek                                                                                                                                                                                          
    1  Cat Stevens                                                                                                                                                                                                
    1  Chaka Khan                                                                                                                                                                                                 
    1  Chaotic Dischord                                                                                                                                                                                           
    1  Cheap Trick                                                                                                                                                                                                
    1  Cheshire (3)                                                                                                                                                                                               
    1  Chicane                                                                                                                                                                                                    
    1  Chicks On Speed                                                                                                                                                                                            
    1  Chimpo, Dub Phizix, Skeptical (2), Chimpo, MC Fox (3)                                                                                                                                                      
    1  Christian Smith                                                                                                                                                                                            
    1  Chuck Berry                                                                                                                                                                                                
    1  Climax Blues Band                                                                                                                                                                                          
    1  Cloud 9                                                                                                                                                                                                    
    1  Club Nouveau                                                                                                                                                                                               
    1  Coldcut, Yazz, The Plastic Population                                                                                                                                                                      
    1  Coldplay                                                                                                                                                                                                   
    1  Coleman Hawkins                                                                                                                                                                                            
    1  Colourbox                                                                                                                                                                                                  
    1  Congo Natty                                                                                                                                                                                                
    1  Coolio, LV                                                                                                                                                                                                 
    1  Cravo E Canela                                                                                                                                                                                             
    1  Criminal Element Orchestra, Tim Bryant                                                                                                                                                                     
    1  Crowded House                                                                                                                                                                                              
    1  Cujo                                                                                                                                                                                                       
    1  Current Value                                                                                                                                                                                              
    1  Cut Chemist, DJ Nu-Mark                                                                                                                                                                                    
    1  Cutting Crew                                                                                                                                                                                               
    1  Cylob                                                                                                                                                                                                      
    1  DJ Assault                                                                                                                                                                                                 
    1  DJ DW                                                                                                                                                                                                      
    1  DJ Dara                                                                                                                                                                                                    
    1  DJ Faust, Shortee, DJ Craze                                                                                                                                                                                
    1  DJ Honda                                                                                                                                                                                                   
    1  DJ Hype                                                                                                                                                                                                    
    1  DJ Jazzy Jeff & The Fresh Prince                                                                                                                                                                           
    1  DJ Katapila                                                                                                                                                                                                
    1  DJ Q-Bert                                                                                                                                                                                                  
    1  DJ Rap, Danny C                                                                                                                                                                                            
    1  DJ Rap, G Squad, DJ SS                                                                                                                                                                                     
    1  DJ Rasoul, Miguel Migs                                                                                                                                                                                     
    1  DJ Red Alert & Mike Slammer                                                                                                                                                                                
    1  DJ Rocca, Hard Ton (2)                                                                                                                                                                                     
    1  DJ Sappo                                                                                                                                                                                                   
    1  DJ Shadow, Cut Chemist                                                                                                                                                                                     
    1  DJ Vadim                                                                                                                                                                                                   
    1  DJs Wally & Swingsett                                                                                                                                                                                      
    1  DNA, Suzanne Vega                                                                                                                                                                                          
    1  Daedelus                                                                                                                                                                                                   
    1  Daft Punk                                                                                                                                                                                                  
    1  Dan Fogelberg                                                                                                                                                                                              
    1  Daniel Avery                                                                                                                                                                                               
    1  Danny Breaks, Dylan                                                                                                                                                                                        
    1  Das EFX                                                                                                                                                                                                    
    1  Dave Angel                                                                                                                                                                                                 
    1  Dave Brubeck                                                                                                                                                                                               
    1  Dave Mason                                                                                                                                                                                                 
    1  David B. Cheek, MD                                                                                                                                                                                         
    1  David Bowie, Pat Metheny Group                                                                                                                                                                             
    1  David Holmes                                                                                                                                                                                               
    1  Dead Or Alive                                                                                                                                                                                              
    1  Dean Martin                                                                                                                                                                                                
    1  Deep Blue                                                                                                                                                                                                  
    1  Deep Dish, DC Deepressed                                                                                                                                                                                   
    1  Deep Forest                                                                                                                                                                                                
    1  Deetron                                                                                                                                                                                                    
    1  Del Tha Funkee Homosapien                                                                                                                                                                                  
    1  Del Tha Funkee Homosapien, Ed O.G                                                                                                                                                                          
    1  Derrick Carter, Red Nail                                                                                                                                                                                   
    1  Detroit's Filthiest                                                                                                                                                                                        
    1  Die Vögel                                                                                                                                                                                                  
    1  Diego                                                                                                                                                                                                      
    1  Digitalis (4)                                                                                                                                                                                              
    1  Digney Fignus                                                                                                                                                                                              
    1  Dilated Peoples                                                                                                                                                                                            
    1  Dillinja                                                                                                                                                                                                   
    1  Dillinja, Lemon D                                                                                                                                                                                          
    1  Dionne Warwick                                                                                                                                                                                             
    1  Dirty Vegas                                                                                                                                                                                                
    1  Divine                                                                                                                                                                                                     
    1  Dntel, Matthew Herbert                                                                                                                                                                                     
    1  Doc Sleep                                                                                                                                                                                                  
    1  Doctor & The Medics                                                                                                                                                                                        
    1  Doctor J.R. Kool, The Other Roxannes                                                                                                                                                                       
    1  Dominic Angus, Optical                                                                                                                                                                                     
    1  Dominic Angus, Rob Playford, Goldie                                                                                                                                                                        
    1  Don McLean                                                                                                                                                                                                 
    1  Donovan                                                                                                                                                                                                    
    1  Double Dee                                                                                                                                                                                                 
    1  Doug And The Slugs                                                                                                                                                                                         
    1  Doug E. Fresh                                                                                                                                                                                              
    1  Dr Janet                                                                                                                                                                                                   
    1  Dr. Seuss                                                                                                                                                                                                  
    1  Drumsound & Simon "Bassline" Smith                                                                                                                                                                         
    1  Duke Ellington                                                                                                                                                                                             
    1  Duquesne University Tamburitzans                                                                                                                                                                           
    1  Dylan & Loxy                                                                                                                                                                                               
    1  Dynamic Syncopation                                                                                                                                                                                        
    1  E-Z Rollers                                                                                                                                                                                                
    1  EMF                                                                                                                                                                                                        
    1  Eagles                                                                                                                                                                                                     
    1  East Flatbush Project, DeS                                                                                                                                                                                 
    1  Ed Rush & Nico                                                                                                                                                                                             
    1  Ed Rush, Optical, Fierce                                                                                                                                                                                   
    1  Ego-Free Sequences, Sqimer, Darsk                                                                                                                                                                          
    1  Eighty Mile Beach                                                                                                                                                                                          
    1  Eileen Flissler                                                                                                                                                                                            
    1  Electroset                                                                                                                                                                                                 
    1  Elementz Of Noize, Ray Keith                                                                                                                                                                               
    1  Ellicist                                                                                                                                                                                                   
    1  Elton John                                                                                                                                                                                                 
